epoch;loss;masked_mae_loss;val_loss;val_masked_mae_loss
0;3044.551025390625;0.21660581231117249;2867.7041015625;0.22693511843681335
1;2867.60205078125;0.21086274087429047;2867.63720703125;0.24033935368061066
2;2867.5830078125;0.20690491795539856;2867.623291015625;0.25243228673934937
3;2867.5703125;0.2012326419353485;2867.6748046875;0.2581388056278229
4;2867.563232421875;0.19827909767627716;2867.609130859375;0.23472894728183746
5;2867.561767578125;0.19645529985427856;2867.643310546875;0.24559886753559113
6;2867.571533203125;0.20260664820671082;2867.683837890625;0.2917670011520386
7;2867.555908203125;0.19337455928325653;2867.615966796875;0.23985421657562256
8;2867.55224609375;0.19079257547855377;2867.65380859375;0.2622528076171875
9;2867.54443359375;0.18723276257514954;2867.5927734375;0.23416268825531006
10;2867.531494140625;0.1840420514345169;2867.612548828125;0.2620290517807007
11;2867.53076171875;0.18298104405403137;2868.1083984375;0.31758978962898254
12;2867.531982421875;0.1825663298368454;2867.5673828125;0.21957367658615112
13;2867.532470703125;0.18168622255325317;2867.6953125;0.2706598937511444
14;2867.53125;0.18107673525810242;2867.741943359375;0.28123903274536133
15;2867.531982421875;0.18060500919818878;2867.70166015625;0.2466263324022293
16;2867.530517578125;0.18009530007839203;2867.607421875;0.20277827978134155
17;2867.533447265625;0.18202029168605804;2867.7431640625;0.23678256571292877
18;2867.529296875;0.1797036975622177;2870.646484375;0.31757688522338867
19;2867.5302734375;0.17955100536346436;3076.231689453125;0.271566241979599
20;2867.520751953125;0.17781804502010345;2871.255126953125;0.2523646354675293
21;2867.51904296875;0.1772012859582901;2867.7412109375;0.24009044468402863
22;2867.520751953125;0.17664533853530884;2867.71630859375;0.18578511476516724
23;2867.5224609375;0.176091730594635;2881.009521484375;0.21316449344158173
24;2867.519775390625;0.17622311413288116;2867.776123046875;0.30546605587005615
25;2867.52099609375;0.1759875863790512;2867.87353515625;0.22513873875141144
26;2867.5205078125;0.17539140582084656;2867.783203125;0.18678216636180878
27;2867.519287109375;0.17517858743667603;2873.608642578125;0.2153513878583908
28;2867.52001953125;0.17477689683437347;2868.18115234375;0.23963148891925812
29;2867.521728515625;0.17476454377174377;2871.39013671875;0.2953941524028778
30;2867.51171875;0.17362956702709198;2873.197998046875;0.22357794642448425
31;2867.510498046875;0.17306573688983917;2870.091064453125;0.2017669975757599
32;2867.512451171875;0.17270870506763458;2868.760498046875;0.3210214078426361
33;2867.517333984375;0.1723669022321701;2880.912841796875;0.2527540624141693
34;2867.51513671875;0.17216715216636658;2879.131103515625;0.22951169312000275
35;2867.51513671875;0.1716281920671463;2868.143798828125;0.3090103566646576
36;2867.512939453125;0.17176246643066406;2868.08544921875;0.1814076155424118
37;2867.513427734375;0.1714644581079483;2870.7080078125;0.19048921763896942
38;2867.51416015625;0.17126640677452087;2868.81298828125;0.2406868189573288
39;2867.513427734375;0.1712983250617981;2867.9345703125;0.19598865509033203
40;2867.506591796875;0.16987411677837372;2939.9970703125;0.21087181568145752
41;2867.50537109375;0.16986694931983948;2883.943359375;0.1919795423746109
42;2867.50537109375;0.16982243955135345;2972.76513671875;0.18775540590286255
43;2867.510009765625;0.16929014027118683;2870.30908203125;0.30530041456222534
44;2867.508056640625;0.16924817860126495;2867.60498046875;0.20953278243541718
45;2867.505126953125;0.1688416302204132;2875.831787109375;0.2899821996688843
